strain_id;probiotic_name;brand;strain_name;target;status;effect;icd;class;references_linkage;reference;taxonomy_id;detailed_effect;ncbi_genome;mbgd_genome;lineage
Probio_H_00011;Azotobacter chroococcum;Prescript-Assist;-;Human;Marketed;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";;Maintenance of human gut microenvironment;https://www.amazon.com/Prescript-Assist-B0049NW9UI-Probiotic-60-Caps/dp/B00JB2GOFI/ref=sr_1_1?s=hpc&ie=UTF8&qid=1480057517&sr=1-1-spons&keywords=Prescript-Assist&psc=1&smid=A3BZICTU10T76Z;Amazon Website;353;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";http://www.ncbi.nlm.nih.gov/genome/17633;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [phylum:Proteobacteria]; [class:Gammaproteobacteria]; [order:Pseudomonadales]; [family:Pseudomonadaceae]; [subfamily:Azotobacter group]; [genus:Azotobacter]"
Probio_H_00012;Azotobacter paspali;Prescript-Assist;-;Human;Marketed;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";;Maintenance of human gut microenvironment;https://www.amazon.com/Prescript-Assist-B0049NW9UI-Probiotic-60-Caps/dp/B00JB2GOFI/ref=sr_1_1?s=hpc&ie=UTF8&qid=1480057517&sr=1-1-spons&keywords=Prescript-Assist&psc=1&smid=A3BZICTU10T77Z;Amazon Website;69963;"Maintains Healthy GI-Tract MicroFloral Ecologies; Promotes Normal Bowel Function; Supports Gut Immune-System; Assists in Stabilizing the Gut Mucosal Barrier; Supports Normal Absorption and Assimilation of Nutrients in the Gut";-;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [phylum:Proteobacteria]; [class:Gammaproteobacteria]; [order:Pseudomonadales]; [family:Pseudomonadaceae]; [subfamily:Azotobacter group]; [genus:Azorhizophilus]"
Probio_H_00013;Bacillus amyloliquefaciens;BlackMP-Foods for Athletes;-;Human;Marketed;Supports digestive health;K00-K93;(K00-K93) Diseases of the digestive system;https://www.amazon.com/BlackMP-Living-Powder-Probiotic-Children/dp/B00QSGWJX6/ref=sr_1_1_s_it?s=hpc&ie=UTF8&qid=1480058500&sr=1-3&keywords=BlackMP-Foods+for+Athletes;Amazon Website;1390;Support digestive health;http://www.ncbi.nlm.nih.gov/genome/848;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]; [species group:Bacillus subtilis group]; [species subgroup:Bacillus amyloliquefaciens group]"
Probio_H_00014;Bacillus amyloliquefaciens;-;-;Human;Research;Immune function;B35-B49;(A00-B99) Certain infectious and parasitic diseases;http://www.ncbi.nlm.nih.gov/pubmed/?term=23455449;Ji J, Hu SL, Cui ZW, Li WF. Probiotic Bacillus amyloliquefaciens mediate M1  macrophage polarization in mouse bone marrow-derived macrophages. <i>Arch Microbiol</i>. 2013 May. 195(5):349-56.;1390;Probiotic Ba facilitated polarization of M1 macrophages and enhanced its phagocytic capacity. The results expanded our knowledge about probiotic function-involved macrophage polarization.;http://www.ncbi.nlm.nih.gov/genome/848;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]; [species group:Bacillus subtilis group]"
Probio_H_00015;Bacillus amyloliquefaciens;-;B-1895;Human;Research;"Antioxidant effects; DNA protection";;Oxidative stress in humans;http://www.ncbi.nlm.nih.gov/pubmed/?term=26370336;Prazdnova EV, Chistyakov VA, Churilov MN, Mazanko MS, Bren AB, Volski A, Chikindas ML. DNA-protection and antioxidant properties of fermentates from Bacillus amyloliquefaciens B-1895 and Bacillus subtilis KATMIRA1933. <i>Lett Appl Microbiol</i>. 2015 Dec. 61(6):549-54.;1390;DNA-protection and antioxidant properties. Preparations of both Bacillus fermentates demonstrated DNA protective and antioxidant (superoxide scavenging) activity (up to 60·19%). ;http://www.ncbi.nlm.nih.gov/genome/848;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]; [species group:Bacillus subtilis group]"
Probio_H_00016;Bacillus cereus;Biosubtyl;-;Human;Marketed;"Inhibites Escherichia coli and Yersinia pseudotuberculosis ;Modification of intestinal microbial communities and their metabolic activities";;Maintenance of human gut microenvironment;http://www.ncbi.nlm.nih.gov/pubmed/?term=16102604;"Gil-Turnes Carlos SAFd, Cruz Flávia Weykamp da,Monteiro Alegani Vieira (1999) Properties of the Bacillus Cereus strain used in probiotic CenBiot. <i>Revista de Microbiologia</i> 30(1):11-14; Jadamus A VW, Schafer K, Simon O. (2002) Influence of the probiotic strain Bacillus cereus var. toyoi on the development of enterobacterial growth and on selected parameters of bacterial metabolism in digesta samples of piglets. <i>J Anim Physiol Anim Nutr (Berl)</i> 86(1-2):42-54.";1396;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/157;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]; [species group:Bacillus cereus group]"
Probio_H_00017;Bacillus cereus;Bactisubtil;5832b(ATCC 14893);Human;Marketed;"Inhibites Escherichia coli and Yersinia pseudotuberculosis ;Modification of intestinal microbial communities and their metabolic activities";;Maintenance of human gut microenvironment;http://www.ncbi.nlm.nih.gov/pubmed/?term=16102604;"Gil-Turnes Carlos SAFd, Cruz Flávia Weykamp da,Monteiro Alegani Vieira (1999) Properties of the Bacillus Cereus strain used in probiotic CenBiot. <i>Revista de Microbiologia</i> 30(1):11-14; Jadamus A VW, Schafer K, Simon O. (2002) Influence of the probiotic strain Bacillus cereus var. toyoi on the development of enterobacterial growth and on selected parameters of bacterial metabolism in digesta samples of piglets. <i>J Anim Physiol Anim Nutr (Berl)</i> 86(1-2):42-54.";1396;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/157;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]; [species group:Bacillus cereus group]"
Probio_H_00018;Bacillus cereus;Biovicerin;GM;Human;Marketed;"Inhibites Escherichia coli and Yersinia pseudotuberculosis ;Modification of intestinal microbial communities and their metabolic activities";;Maintenance of human gut microenvironment;http://www.ncbi.nlm.nih.gov/pubmed/?term=16102604;"Gil-Turnes Carlos SAFd, Cruz Flávia Weykamp da,Monteiro Alegani Vieira (1999) Properties of the Bacillus Cereus strain used in probiotic CenBiot. <i>Revista de Microbiologia</i> 30(1):11-14; Jadamus A VW, Schafer K, Simon O. (2002) Influence of the probiotic strain Bacillus cereus var. toyoi on the development of enterobacterial growth and on selected parameters of bacterial metabolism in digesta samples of piglets. <i>J Anim Physiol Anim Nutr (Berl)</i> 86(1-2):42-54.";1396;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/157;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]; [species group:Bacillus cereus group]"
Probio_H_00019;Bacillus cereus var. vietnami;Subtyl;-;Human;Marketed;"Inhibites Escherichia coli and Yersinia pseudotuberculosis ;Modification of intestinal microbial communities and their metabolic activities";;Maintenance of human gut microenvironment;http://www.ncbi.nlm.nih.gov/pubmed/?term=16102604;"Gil-Turnes Carlos SAFd, Cruz Flávia Weykamp da,Monteiro Alegani Vieira (1999) Properties of the Bacillus Cereus strain used in probiotic CenBiot. <i>Revista de Microbiologia</i> 30(1):11-14; Jadamus A VW, Schafer K, Simon O. (2002) Influence of the probiotic strain Bacillus cereus var. toyoi on the development of enterobacterial growth and on selected parameters of bacterial metabolism in digesta samples of piglets. <i>J Anim Physiol Anim Nutr (Berl)</i> 86(1-2):42-54.";1396;Info will be available soon;http://www.ncbi.nlm.nih.gov/genome/157;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]; [species group:Bacillus cereus group]"
Probio_H_00020;Bacillus clausii;"Primal Blueprint; Perfect Passi";-;Human;Marketed;Nourishes Healthy Intestinal Bacteria,Supports a Strong Immune System,Enhances Digestion;;Maintenance of human gut microenvironment;https://www.amazon.com/Complete-Probiotic-Blend-Probiotics-capsules/dp/B007N79QS0/ref=sr_1_1_a_it?ie=UTF8&qid=1479948622&sr=8-1&keywords=Primal+Blueprint+probiotics;Amazon Website;79880;Nourishes Healthy Intestinal Bacteria,Supports a Strong Immune System,Enhances Digestion;http://www.ncbi.nlm.nih.gov/genome/1208;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]"
Probio_H_00021;Bacillus clausii;Enterogermina;-;Human;Marketed;Diarrhoea;"A09; K59.1";"(A00-B99) Certain infectious and parasitic diseases; (K00-K93) Diseases of the digestive system";https://glowpink.com/blog/enterogermina/;Enterogermina, is it safe? Uses, Side-effects, Dosage;79880;Enterogermina is a branded oral anti-diarrheal probiotic product. It contains live microbial feed supplements which beneficially affect the human body by improving its intestinal microbial balance. ;http://www.ncbi.nlm.nih.gov/genome/1208;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]"
Probio_H_00022;Bacillus clausii;Enterogermina;-;Human;Clinical trial;"Allergic rhinitis; Reduces side-effects of anti-H. pylori treatment";"J30; B8.0";"(J00-J99) Diseases of the respiratory system; (A00-B99) Certain infectious and parasitic diseases";"http://www.ncbi.nlm.nih.gov/pubmed/?term=15813820; http://www.ncbi.nlm.nih.gov/pubmed/?term=15569121";"Ciprandi G, Vizzaccaro A, Cirillo I, Tosca MA. Bacillus clausii effects in children with allergic rhinitis. <i>Allergy</i>. 2005 May. 60(5):702-3.; Nista EC, Candelli M, Cremonini F, Cazzato IA, Zocco MA, Franceschi F, Cammarota G, Gasbarrini G, Gasbarrini A. Bacillus clausii therapy to reduce side-effects of anti-Helicobacter pylori treatment: randomized, double-blind, placebo controlled trial. <i>Aliment Pharmacol Ther</i>. 2004 Nov 15. 20(10):1181-8.";79880;Reduce side-effects of anti-Helicobacter pylori treatment.;http://www.ncbi.nlm.nih.gov/genome/1208;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]"
Probio_H_00023;Bacillus clausii;Enterogermina;-;Human;Research;Immunomodulatory effects;T78.4;(S00-T98) Injury, poisoning and certain other consequences of external causes;http://www.ncbi.nlm.nih.gov/pubmed/?term=15916013;Ciprandi G, Vizzaccaro A, Cirillo I, Tosca MA. Bacillus clausii exerts immuno-modulatory activity in allergic subjects: a pilot study. <i>Eur Ann Allergy Clin Immunol</i>. 2005 Apr. 37(4):129-34.;79880;Bacillus clausii may exert immuno-modulating activity by affecting cytokine pattern in allergic subjects and confirms previous study conducted in allergic children;http://www.ncbi.nlm.nih.gov/genome/1208;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]"
Probio_H_00024;Bacillus clausii;-;UBBC 07;Human;Clinical trial;Acute diarrhoea;"A09; K59.1";"(A00-B99) Certain infectious and parasitic diseases; (K00-K93) Diseases of the digestive system";http://www.ncbi.nlm.nih.gov/pubmed/?term=23443952;Sudha MR, Bhonagiri S, Kumar MA. Efficacy of Bacillus clausii strain UBBC-07 in the treatment of patients suffering from acute diarrhoea. <i>Benef Microbes</i>. 2013 Jun 1. 4(2):211-6.;79880;This is a phase II clinical study which results showed that the B. clausii strain UBBC-07 can potentially be effective in alleviating the symptoms of diarrhoea without causing any adverse effects.;http://www.ncbi.nlm.nih.gov/genome/1208;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]"
Probio_H_00025;Bacillus coagulans;-;30;Human;Research;Supports maturation of antigen-presenting cells;;Immune health;http://www.ncbi.nlm.nih.gov/pubmed/?term=22563167;Benson KF, Redman KA, Carter SG, Keller D, Farmer S, Endres JR, Jensen GS. Probiotic metabolites from Bacillus coagulans GanedenBC30™ support maturation of  antigen-presenting cells in vitro. <i>World J Gastroenterol</i>. 2012 Apr 28. 18(16):1875-83.;1398;Support maturation of antigen-presenting cells in vitro, which it's important for immunological decision-making.;http://www.ncbi.nlm.nih.gov/genome/1356;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]"
Probio_H_00026;Bacillus coagulans;"Dr.TOBIAS; Schiff; Nutrition essentials; Dr.Formulas; DNASHIFT; HERdiet; Vita Heaven Healthcare; LFI Labs; Nutrazest; MaxiZest; xtremebiotics probiotic; NutriPro Health; Nature's Dynamics; Living Natural; NutraCura; Thorne Reasearch; Primal Blueprint; THIS IS NUTRITION; ProbioSlim; ABCD Vitamins; Sleep Spirit; Life Vitality Ventures; Nutrapuris; Evergenics Health and Personal Care; BioGanix; Life Blend; LifePower Labs; Nuturatech; NutriCommit; Natural Riches; LiveWellLabs; Pure; Bright Life; Schiff; Herbal Alchemist; Maverick Essentials; Natural Riches; Nature Desires; PrimoNature; Inner Health; EZ Melts; Enzymedica; Origin Essentials; Isotonix; Half Moon Health; Rejuvenate Me; Wellness Biologics; BrightLeafScience; NatureOtics; Gaia Source; Nutra Pharm; Axe Naturals; Perfect Pass; Mt Capra; Energetix; CeliAct; Rainbow Light; MAJOR RUGBY; Global Health Trax; nutricreation; peakBiotics; Active Balance; CREE Nutrition;activechange;Absorb Biotics;Biome Defense";-;Human;Marketed;promotes regularity and brings relief from diarrhoea and bloating;"A09; K59.1";"(A00-B99) Certain infectious and parasitic diseases; (K00-K93) Diseases of the digestive system";https://www.amazon.com/Ultra-Probiotic-Benefits-Probiotics-Digestion/dp/B01DDOYLFE/ref=sr_1_6_a_it?ie=UTF8&qid=1479804971&sr=8-6&keywords=Nutrazest;Amazon Website;1398;promotes regularity and brings relief from diarrhea and bloating;http://www.ncbi.nlm.nih.gov/genome/1356;-;"[no rank:root]; [no rank:cellular organisms]; [superkingdom:Bacteria]; [no rank:Terrabacteria group]; [phylum:Firmicutes]; [class:Bacilli]; [order:Bacillales]; [family:Bacillaceae]; [genus:Bacillus]"
